,ticker,frequency,score,sentiment
0,GME,7554,360351,-0.2621323529411765
1,AMC,5879,206158,-0.10699774266365689
2,PLTR,4992,90611,-0.3154915079773546
3,NOK,936,44803,-0.11978221415607986
4,SNDL,1252,37284,-0.12063808574277168
5,WISH,1826,35522,0.0
6,TSLA,2119,30824,-0.3107311320754717
7,CLOV,1544,28758,-0.10508757297748124
8,MVIS,1303,27584,-0.026490066225165563
9,CLNE,1373,26641,0.13964386129334583
10,TLRY,1311,23135,0.0769980506822612
11,UWMC,981,14844,-0.1065989847715736
12,AAPL,949,13625,-0.5339673913043478
13,RKT,918,13028,-0.04630969609261939
14,WKHS,655,10360,0.09215686274509804
15,NIO,585,8015,-0.31890660592255127
16,EDIT,42,7129,-2.142857142857143
17,CLF,471,7090,0.18497109826589594
18,AMD,629,6643,-0.5379746835443038
19,SPCE,440,6017,-0.2585227272727273
20,CRSR,288,5124,-0.16740088105726872
21,ASO,399,5019,-0.19873817034700317
22,OCGN,323,4981,0.05058365758754864
