,row,ticker,frequency,Industry,score,buy_bin
0,27,GME,7554,Consumer Cyclical,360351,buy
1,23,AMC,5879,Communication Services,206158,buy
2,7,PLTR,4992,Technology,90611,buy
3,92,NOK,936,Technology,44803,buy
4,32,SNDL,1252,Healthcare,37284,buy
5,9,WISH,1826,Consumer Cyclical,35522,buy
6,25,TSLA,2119,Consumer Cyclical,30824,buy
7,28,CLOV,1544,Healthcare,28758,buy
8,117,MVIS,1303,Technology,27584,buy
9,1,CLNE,1373,Energy,26641,buy
10,8,TLRY,1311,Healthcare,23135,buy
11,22,UWMC,981,Financial Services,14844,buy
12,0,AAPL,949,Technology,13625,buy
13,31,RKT,918,Financial Services,13028,buy
14,30,WKHS,655,Consumer Cyclical,10360,buy
15,5,NIO,585,Consumer Cyclical,8015,buy
16,15,EDIT,42,Healthcare,7129,buy
17,41,CLF,471,Basic Materials,7090,buy
18,2,AMD,629,Technology,6643,buy
19,14,SPCE,440,Industrials,6017,buy
20,42,CRSR,288,Technology,5124,buy
21,46,ASO,399,Consumer Cyclical,5019,buy
22,124,OCGN,323,Healthcare,4981,buy
